title,company,salary,industry,description
运营专员,宜信普惠,7k-9k,金融 / 上市公司 / 2000人以上,“平台大 统筹管理”
电商文案策划,帝加传媒,8k-16k,"移动互联网,社交网络 / 不需要融资 / 15-50人",“高薪、多福利、有前景”
运维主管,湖北群艺,13k-20k,"企业服务,教育 / 不需要融资 / 150-500人",“岗位晋升绩效奖金团队聚餐五险一金”
JSJ-高性能计算资深架构师,顺丰科技有限公司,30k-40k,"移动互联网,电子商务 / 不需要融资 / 500-2000人",“重点项目 技术氛围”
知识图谱工程师,泛微,25k-50k,"移动互联网,企业服务 / 上市公司 / 2000人以上","“免费三餐,周末双休,绩效奖金,员工旅游”"
人力资源管理培训生,松茂科技,8k-12k,移动互联网 / A轮 / 50-150人,"“十点上班,五险一金,周末双休,年终奖金”"
项目经理,星启,6k-10k,移动互联网 / 未融资 / 少于15人,“五险一金、发展空间大、扁平管理、领导好”
高级交互设计师,沪江,15k-25k,"移动互联网,教育 / D轮及以上 / 500-2000人",“优厚福利，发展空间大，弹性工作制”
客服专员（V2018103001）,滴滴出行,3k-6k,移动互联网 / 不需要融资 / 2000人以上,“大平台 互联网”
Facebook投放,广州细刻,4k-8k,电子商务 / A轮 / 500-2000人,“发展空间j大 薪资高”
策划（AR）,商询科技,10k-15k,"企业服务,数据服务 / A轮 / 50-150人",“AR/MR”
承保管理专员,花生好车,6k-8k,"金融,电子商务 / B轮 / 500-2000人",“1、审核保险保单信息 2、完成报表输出”
翻硕老师（百科与写作）,橙啦教育,15k-20k,"移动互联网,教育 / A轮 / 150-500人",“办公地点灵活”
中间件架构师,投哪网,35k-55k,金融 / C轮 / 2000人以上,“前十P2P 领导nice 大牛多”
Java开发工程师,钰昊集团,8k-15k,"移动互联网,电子商务 / 未融资 / 50-150人","“五险一金,法定节假日,带薪年假,节日福利”"
美妆内容运营,帝加传媒,8k-15k,"移动互联网,社交网络 / 不需要融资 / 15-50人",“高薪、多福利、有前景”
运维工程师,松茂科技,12k-20k,移动互联网 / A轮 / 50-150人,"“十点上班,周末双休,五险一金,年终奖金”"
品类负责人,沪江,15k-25k,"移动互联网,教育 / D轮及以上 / 500-2000人",“优厚福利，发展空间大，弹性工作制”
策划（AR）,商询科技,10k-15k,"企业服务,数据服务 / A轮 / 50-150人",“AR/MR”
英语助教,橙啦教育,4k-6k,"移动互联网,教育 / A轮 / 150-500人","“氛围好,团队年轻,零食无限量,福利多多”"
运营总监,云畅游戏,18k-30k,"游戏,移动互联网 / 上市公司 / 150-500人",“试用期全薪 五险一金”
java工程师,武汉蜡烛,8k-12k,"移动互联网,金融 / 不需要融资 / 50-150人","“六险一金,下午茶,餐补,团建活动”"
客服运营主管,盛付通,8k-16k,"移动互联网,金融 / 不需要融资 / 150-500人","“专业培训,团队大牛多,知识分享,各种团建”"
国企银行招聘（接受实习生）,隆信,3k-6k,"电子商务,金融 / 不需要融资 / 50-150人",“周末双休、购买五险一金、广发银行”
插画设计师,游色文化,5k-7k,"文化娱乐,移动互联网 / 天使轮 / 少于15人","“五险一金,周末双休,工作弹性,补贴”"
增长策划,阿拉丁集团,10k-20k,"移动互联网,社交网络 / 上市公司 / 500-2000人",“五险一金 年终奖 做五休二 节日福利”
.net开发工程师,上海广亿公司,8k-15k,移动互联网 / 天使轮 / 50-150人,"“绩效奖金,员工旅游,高级写字楼”"
运营专员/电商运营,爱斯基摩人家居有限公司,6k-8k,"电子商务,移动互联网 / 未融资 / 150-500人","“绩效奖金,高提成”"
高级产品经理,懒人科技,25k-35k,移动互联网 / 天使轮 / 50-150人,"“朝阳产业,牛人聚集,团队和谐”"
广告大客户销售,知乎,15k-30k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
服装搭配师,帝加传媒,8k-15k,"移动互联网,社交网络 / 不需要融资 / 15-50人",“高薪、多福利、有前景”
IT专员,松茂科技,5k-8k,移动互联网 / A轮 / 50-150人,“十点上班，周末双休，五险一金，年终奖金”
社群运营实习生,沪江,2k-3k,"移动互联网,教育 / D轮及以上 / 500-2000人",“发展前景好”
项目经理,商询科技,10k-15k,"企业服务,数据服务 / A轮 / 50-150人","“AR,大数据”"
英语编辑,橙啦教育,6k-10k,"移动互联网,教育 / A轮 / 150-500人","“14薪,七险一金,福利多多,氛围好”"
软件测试,武汉蜡烛,4k-8k,"移动互联网,金融 / 不需要融资 / 50-150人",“五险一金 营养工作餐”
电销专员/主管,盛付通,5k-10k,"移动互联网,金融 / 不需要融资 / 150-500人",“平台大 福利好”
网店运营/淘宝运营,爱斯基摩人家居有限公司,8k-12k,"电子商务,移动互联网 / 未融资 / 150-500人","“绩效,年终奖,节日福利”"
视觉设计师,懒人科技,8k-16k,移动互联网 / 天使轮 / 50-150人,"“朝阳产业,牛人聚集,团队和谐”"
项目执行,知乎,8k-15k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
内贸业务员,海勤科技,5k-8k,其他 / 未融资 / 150-500人,“五险一金，年底双薪”
新媒体/社群运营实习生,链接未来,4k-6k,区块链、移动互联网 / 天使轮 / 15-50人,“生日福利”
商务BD,成都六层广告有限公司,10k-15k,"企业服务,广告营销 / 未融资 / 50-150人",“交通便利，团队年轻有活力，大牛带队”
高级安卓开发工程师,腾跃校长在线,16k-25k,"移动互联网,教育 / A轮 / 150-500人",“14薪 不打卡 免费午餐 晋升空间”
综合金融专员,中国人寿人寿保险股份有限公司,5k-10k,金融 / 上市公司 / 500-2000人,“周末双休，朝九晚五，薪资待遇好”
BJ-WebRTC Server开发工程师,沪江,25k-50k,"移动互联网,教育 / D轮及以上 / 500-2000人",“全面福利 技术大牛 弹性工作”
项目经理（AR策划）,商询科技,10k-15k,"企业服务,数据服务 / A轮 / 50-150人",“AR/MR”
文字编辑,橙啦教育,6k-10k,"移动互联网,教育 / A轮 / 150-500人","“14薪,七险一金,福利多多,氛围好”"
连尚钱包-高级产品经理,盛付通,20k-40k,"移动互联网,金融 / 不需要融资 / 150-500人","“大数据平台,千万级用户,弹性工作,福利待遇好”"
跨境亚马逊运营,爱斯基摩人家居有限公司,8k-15k,"电子商务,移动互联网 / 未融资 / 150-500人","“绩效奖金,节日福利”"
交互设计师,懒人科技,8k-16k,移动互联网 / 天使轮 / 50-150人,"“朝阳产业,牛人聚集,团队和谐”"
品牌渠道销售,知乎,15k-30k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
广告投放,菲尼克斯互娱,8k-15k,"游戏,移动互联网 / 未融资 / 15-50人","“弹性工作,扁平管理,六险一金,项目分红”"
人事专员,武汉蜡烛,4k-6k,"移动互联网,金融 / 不需要融资 / 50-150人",“五险一金 营养工作餐”
java开发工程师,闻善科技,25k-45k,"移动互联网,硬件 / 不需要融资 / 50-150人",“正式编制”
行政专员,霖梓控股,5k-6k,"移动互联网,金融 / B轮 / 150-500人",“晋升发展、周末双休、福利多多、五险一金”
高级实施项目经理,明动软件,15k-25k,"企业服务,数据服务 / 上市公司 / 150-500人","“五险一金,平台”"
执行策划,上海风魂网络,6k-10k,游戏 / 未融资 / 50-150人,"“扁平化管理,策划大咖,水果下午茶,团建”"
Golang开发工程师,英语流利说,25k-50k,"移动互联网,教育 / 上市公司 / 2000人以上","“人工智能,硅谷文化,免费三餐,假期超长”"
移动端（android工程师）,基层医联网,7k-14k,"移动互联网,医疗健康 / 不需要融资 / 50-150人","“五险一金,餐补交通补,绩效,双休”"
网店店长/资深运营专员,爱斯基摩人家居有限公司,10k-15k,"电子商务,移动互联网 / 未融资 / 150-500人","“绩效奖金,节日福利”"
高级UI设计师（偏视觉）,懒人科技,15k-30k,移动互联网 / 天使轮 / 50-150人,"“朝阳产业,牛人聚集,团队和谐”"
营销策划,知乎,13k-26k,"移动互联网,社交网络 / D轮及以上 / 500-2000人","“盘子大,福利好,领导好,发展空间大”"
行政前台,霖梓控股,4k-6k,"移动互联网,金融 / B轮 / 150-500人",“晋升发展、周末双休、福利多多、五险一金”
系统架构师,明动软件,25k-50k,"企业服务,数据服务 / 上市公司 / 150-500人","“上市公司,五险一金,周末双休,年终多薪”"
游戏3D角色,上海风魂网络,10k-15k,游戏 / 未融资 / 50-150人,"“扁平化管理,福利多多,团队氛围好,动物园”"
算法实习生,英语流利说,4k-8k,"移动互联网,教育 / 上市公司 / 2000人以上","“AI,独角兽,纽交所上市,互联网”"
数据治理,富士康科技集团,9k-18k,"电子商务 ,数据服务 / 上市公司 / 2000人以上",“五险一金、绩效奖金、带薪休假、定期体检”
客户执行,互动派科技股份有限公司,2k-3k,"移动互联网,广告营销 / 上市公司 / 150-500人","“双休,有转正机会,弹性上班”"
测试工程师（8-12K+期权）,Hi维修,8k-12k,O2O / B轮 / 500-2000人,“高薪待遇 福利优厚”
桌面运维工程师,披云科技,5k-10k,"金融,企业服务 / 不需要融资 / 15-50人","“五险一金,带薪年假,年底分红,福利健全”"
集团-法务主管,好未来,13k-18k,"移动互联网,教育 / 上市公司 / 2000人以上","“上市公司,发展空间大,体系完整,福利好”"
固定资产会计,Royole柔宇科技,10k-15k,其他 / D轮及以上 / 2000人以上,"“薪酬福利,五险一金,技能培训,周末双休”"
短视频导演,珠江智联,7k-10k,"移动互联网,电子商务 / 不需要融资 / 500-2000人",“补充医疗保险每年多次调薪带薪年假绩效奖金”
行政人事专员,海源节能,5k-7k,其他 / 不需要融资 / 50-150人,“行业发展好”
测试工程师,懒人科技,7k-12k,移动互联网 / 天使轮 / 50-150人,“氛围好”
社区运营,霖梓控股,8k-15k,"移动互联网,金融 / B轮 / 150-500人","“福利多多,晋升发展,五险一金,周末双休”"
Android开发工程师,明动软件,8k-15k,"企业服务,数据服务 / 上市公司 / 150-500人","“上市公司,五险一金,周末双休,上升空间”"
3D动作师,上海风魂网络,8k-15k,游戏 / 未融资 / 50-150人,"“扁平化管理,团队气氛好,福利多多,动物园”"
运营实习生,英语流利说,2k-4k,"移动互联网,教育 / 上市公司 / 2000人以上",“纽交所上市 互联网公司”
文案策划,互动派科技股份有限公司,2k-3k,"移动互联网,广告营销 / 上市公司 / 150-500人","“双休,有机会转正,弹性上班”"
windows系统管理员,披云科技,5k-9k,"金融,企业服务 / 不需要融资 / 15-50人","“五险一金,带薪年假,年终分红,福利健全”"
前端开发工程师,海典软件,8k-13k,"移动互联网,电子商务 / 上市公司 / 500-2000人",“独立开发”
人力资源专员,海源节能,5k-7k,其他 / 不需要融资 / 50-150人,“行业发展好”
项目经理,税友软件,18k-30k,企业服务 / 不需要融资 / 2000人以上,“发展空间大，高额年终奖，购房免息贷款”
.net开发工程师,约我科技有限公司,15k-20k,"移动互联网,社交网络 / 天使轮 / 15-50人",“设计 晋升 空间 平台”
运营助理,莱可服装,4k-6k,电子商务 / 不需要融资 / 50-150人,"“运营助理,内容运营,数据运营,运营推广”"
Java高级开发工程师,湖北群艺,13k-20k,"企业服务,教育 / 不需要融资 / 150-500人","“岗位晋升,绩效奖金,团队聚餐,五险一金”"
战略分析师,百词斩,30k-60k,"移动互联网,教育 / D轮及以上 / 150-500人","“发展快速,期权”"
阿里国际站运营,尊一品科技,6k-8k,电子商务、硬件 / 不需要融资 / 150-500人,"“自主品牌,老板大方,环境高雅,管理人性化”"
Java开发工程师,懒人科技,12k-22k,移动互联网 / 天使轮 / 50-150人,"“挑战,氛围好”"
中级测试工程师,霖梓控股,8k-16k,"移动互联网,金融 / B轮 / 150-500人","“福利多多,晋升发展,五险一金,周末双休”"
自动化测试工程师,明动软件,8k-12k,"企业服务,数据服务 / 上市公司 / 150-500人","“扁平化,技术提升,员工旅游,五险一金”"
场景原画,上海风魂网络,12k-15k,游戏 / 未融资 / 50-150人,"“扁平化管理,福利多多,团队氛围好,动物园”"
语言学教研专员,英语流利说,15k-30k,"移动互联网,教育 / 上市公司 / 2000人以上","“独角兽,AI,高速成长,绝佳福利”"
销售总监-广州-00284,互动派科技股份有限公司,15k-20k,"移动互联网,广告营销 / 上市公司 / 150-500人","“五险一金,双休,弹性上班,年终分红”"
网络工程师 （防火墙、虚拟化),披云科技,3k-6k,"金融,企业服务 / 不需要融资 / 15-50人","“五险一金,带薪年假,年底分红,福利健全”"
高级.net开发工程师-总部直招-CS012,海典软件,9k-14k,"移动互联网,电子商务 / 上市公司 / 500-2000人","“龙头企业,弹性工作,团队氛围好,注重成长”"
前端WEB开发工程师/HTML5开发工程师,湖北群艺,10k-15k,"企业服务,教育 / 不需要融资 / 150-500人","“岗位晋升,绩效奖金,团队聚餐,五险一金”"
微信运营,莱可服装,5k-8k,电子商务 / 不需要融资 / 50-150人,"“绩效奖金,全勤奖,旅游活动多,发展空间大”"
CEO项目助理,百词斩,30k-60k,"移动互联网,教育 / D轮及以上 / 150-500人","“期权,创业机制,快速成长”"
移动端产品经理,劲晟品牌策划,15k-25k,"企业服务,广告营销 / A轮 / 50-150人","“福利好,发展空间大”"
原画 实习生,福宝科技,2k-4k,移动互联网 / 未融资 / 少于15人,"“周末双休,带薪年假,年终奖,五险一金”"
高级招聘专员/招聘主管,尊一品科技,6k-8k,电子商务、硬件 / 不需要融资 / 150-500人,“中高端岗位 写字楼办公 园区食堂”
产品经理,亿和博嘉教育,10k-15k,"教育,医疗健康 / 未融资 / 50-150人",“热门行业 具有挑战性”
前端开发工程师,懒人科技,10k-20k,移动互联网 / 天使轮 / 50-150人,"“挑战,氛围好”"
运营经理/高级运营主管（SCRM）,互动派科技股份有限公司,8k-10k,"移动互联网,广告营销 / 上市公司 / 150-500人","“五险一金,双休,带薪年假,弹性上班”"
Go/shell/python运维开发工程师,披云科技,5k-10k,"金融,企业服务 / 不需要融资 / 15-50人","“福利健全,弹性工作制,薪资待遇高”"
税务经理,百词斩,10k-20k,"移动互联网,教育 / D轮及以上 / 150-500人","“期权,团队扁平,快速发展”"
微信商城运营,莱可服装,5k-8k,电子商务 / 不需要融资 / 50-150人,"“绩效奖金,全勤奖,旅游活动多,发展空间大”"
日语亚马逊运营/日语亚马逊销售,泉州中腾网络,5k-9k,电子商务 / 未融资 / 50-150人,“运营专员-主管-运营总监”
管培生（大客户经理方向）,北京方正阿帕比技术有限公司,10k-15k,移动互联网 / 不需要融资 / 150-500人,“五险一金、周末双休、带薪年假、免费体检”
技术总监,高灯科技,45k-65k,移动互联网 电子商务 / A轮 / 150-500人,“腾讯系 扁平化管理 团队素质佳”
UI设计师（8-12K+期权）,Hi维修,8k-12k,O2O / B轮 / 500-2000人,“高薪待遇 福利优厚”
豪宅销售,丽兹行,6k-12k,"企业服务,广告营销 / 不需要融资 / 500-2000人","“高收入,晋升快,机会多”"
中高级Java开发工程师,恒天软件,8k-12k,移动互联网 / 不需要融资 / 500-2000人,“六险一金，福利待遇佳”
活动策划,景典传媒,8k-15k,移动互联网 / 上市公司 / 50-150人,"“五险一金,弹性工作,餐补话补,电脑补”"
集团-区域政府事务主管（派驻雄安）,好未来,12k-20k,"移动互联网,教育 / 上市公司 / 2000人以上","“上市公司,体系完整,上升空间大,福利待遇好”"
外贸业务员,尊一品科技,10k-20k,电子商务、硬件 / 不需要融资 / 150-500人,“专职外贸 国外展会 研产销”
插画实习生,福宝科技,2k-4k,移动互联网 / 未融资 / 少于15人,"“周末双休,带薪年假,节日福利,加班补助”"
高级前端开发工程师,懒人科技,20k-35k,移动互联网 / 天使轮 / 50-150人,"“挑战,氛围好”"
IT 运维工程师,百词斩,8k-15k,"移动互联网,教育 / D轮及以上 / 150-500人","“快速发展,创业氛围,营收良好,管饭”"
大客户代表,丽兹行,6k-12k,"企业服务,广告营销 / 不需要融资 / 500-2000人","“高收入,晋升快,机会多”"
销售代表,润锦营销公司,8k-10k,其他 / 不需要融资 / 50-150人,“现房销售，不守盘 高底薪+高提成+全勤奖”
影视业务培训专家,阿里影业,25k-50k,"移动互联网,文化娱乐 / 上市公司 / 2000人以上","“七险一金,餐补,大牛”"
Java开发工程师,搜床网络,7k-14k,"移动互联网,O2O / A轮 / 150-500人","“五险一金,双休,晋升空间大,移动互联网”"
高级前端开发工程师（五险一金）,大气候农业,13k-18k,"移动互联网,硬件 / 天使轮 / 50-150人","“周末双休,五险一金,弹性时间,期权激励”"
招聘专员,和瑞基因,6k-8k,医疗健康 / 上市公司 / 500-2000人,“七险一金 节假日福利 带薪年假”
IOS工程师,玩友时代,8k-16k,"移动互联网,游戏 / 不需要融资 / 500-2000人",“众多大牛”
交互设计师,ZTE中兴,10k-12k,数据服务、信息安全 / 上市公司 / 2000人以上,“福利待遇好，项目有挑战”
集团-法务专员（合规方向）,好未来,6k-9k,"移动互联网,教育 / 上市公司 / 2000人以上","“上市公司,发展空间大,体系完整”"
网易云音乐审核编辑,丈浔科技,4k-6k,"移动互联网,数据服务 / 未融资 / 50-150人",“五险一金；包三餐； 年终奖；福利齐全”
销售代表,兼职猫,6k-12k,"移动互联网 ,O2O / C轮 / 150-500人","“扁平管理,收入高,福利完善,五险一金”"
大区销售经理（广东）,鲁大师,6k-8k,移动互联网 / A轮 / 50-150人,“业绩提成”
市场营销实习生,尚德机构,7k-12k,教育 / 上市公司 / 2000人以上,"“免费学习,意向资源,透明晋升,福利多多”"
数据分析师,懒人科技,15k-27k,移动互联网 / 天使轮 / 50-150人,"“独立自主,海量数据,节奏快,创新驱动”"
测试工程师,百词斩,15k-25k,"移动互联网,教育 / D轮及以上 / 150-500人","“高薪,期权,高端设备”"
市场营销管培生,丽兹行,6k-12k,"企业服务,广告营销 / 不需要融资 / 500-2000人","“收入高,晋升快,机会多”"
置业顾问,润锦营销公司,8k-10k,其他 / 不需要融资 / 50-150人,“现房销售，不守盘 高底薪+高提成+全勤奖”
场景原画,玩友时代,8k-15k,"移动互联网,游戏 / 不需要融资 / 500-2000人",“大牛”
数据工程师,搜床网络,5k-10k,"移动互联网,O2O / A轮 / 150-500人","“五险一金,绩效奖金,上升空间大,双休”"
大客户代表,兼职猫,6k-12k,"移动互联网 ,O2O / C轮 / 150-500人",“扁平管理 五险一金 福利好 年度体检”
课程顾问 薪资优厚 资源优质,尚德机构,8k-12k,教育 / 上市公司 / 2000人以上,"“上市公司,带薪年假,加班补助,六险一金”"
保险代理人,中国平安人寿保险公司,8k-15k,金融 / 未融资 / 150-500人,"“五险一金,周末双休,时间自由,员工旅游”"
美妆在线销售客服（集美）,辣妈计划,6k-8k,"移动互联网,电子商务 / A轮 / 150-500人","“五险一金,姨妈假,高薪,学习机会多”"
运维工程师-达州,达拓智通,5k-7k,"移动互联网,电子商务 / 未融资 / 15-50人",“高提成 购买社保 周末双休 早九晚六”
链家总部/楼盘编辑/可招实习生,链家地产,4k-6k,"移动互联网,O2O / C轮 / 2000人以上","“可实习,总部直招,五险三金”"
自然语言处理工程师（NLP）,创邻科技,15k-30k,"企业服务,数据服务 / A轮 / 15-50人","“行业前景好,五险一金,弹性工作制,双休”"
软件测试工程师,优客逸家,8k-15k,O2O / C轮 / 500-2000人,"“五险一金,绩效奖金,交通补助,节日福利”"
运营专家／买手,北京大成元方信息科技有限公司,13k-25k,移动互联网 / 未融资 / 50-150人,“d轮”
